종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"006200","한국전자홀딩스","826","27","3.38","807","835","795","38259","31562844","38659390336","46803136"
"027970","한국제지","1064","-7","-0.65","1078","1078","1059","35291","37484275","202349644168","190178237"
"023350","한국종합기술","4820","-55","-1.13","4835","4885","4770","9998","48126555","52779000000","10950000"
"025890","한국주강","1974","3","0.15","1981","1981","1966","8497","16746488","22324477266","11309259"
"000970","한국주철관","6710","60","0.90","6640","6720","6630","20496","136937140","152991355000","22800500"
"104700","한국철강","8680","190","2.24","8510","8700","8490","14840","127824220","368466000000","42450000"
"017960","한국카본","11590","-90","-0.77","11740","11770","11510","116780","1355433910","601618958680","51908452"
"161890","한국콜마","70200","2500","3.69","67700","70700","67500","306021","21393105600","1657076405400","23605077"
"161390","한국타이어앤테크놀로지","42000","-300","-0.71","42300","42550","41850","54375","2290551050","5202752898000","123875069"
"034830","한국토지신탁","1085","7","0.65","1078","1090","1078","166904","180936364","273950814550","252489230"
"007280","한국특강","1509","-4","-0.26","1500","1540","1497","22294","33742236","91767286299","60813311"
"168490","한국패러랠","219","-1","-0.45","218","223","217","18439","4049637","17524380000","80020000"
"047810","한국항공우주","54000","200","0.37","53800","54700","53800","159765","8674854000","5263655778000","97475107"
"123690","한국화장품","7610","60","0.79","7480","7810","7400","224166","1701280580","122277480000","16068000"
"003350","한국화장품제조","85700","2300","2.76","83300","89400","81700","478208","40884156400","388392400000","4532000"
"011500","한농화성","20350","920","4.73","21300","22350","19960","4594191","97646271440","318213804700","15637042"
"002390","한독","14720","100","0.68","14690","14960","14610","16132","238263570","202599205760","13763533"
"053690","한미글로벌","15850","610","4.00","15250","16020","15210","94066","1480458170","173677167500","10957550"
"042700","한미반도체","110100","-1300","-1.17","111100","112200","110100","294408","32645574900","10678999103400","96993634"
"008930","한미사이언스","32600","-600","-1.81","33000","33350","32450","38505","1263352600","2229564530000","68391550"
"128940","한미약품","310000","1000","0.32","307500","312500","306000","24049","7423283000","3971407210000","12810991"
"009240","한샘","56300","900","1.62","55400","57600","55200","18655","1055523900","1324960146400","23533928"
"020000","한섬","16450","160","0.98","16300","16490","16270","7884","129108050","384905325000","23398500"
"003680","한성기업","5520","90","1.66","5440","5560","5410","21116","115941390","34276522800","6209515"
"105630","한세실업","15720","-170","-1.07","15890","15940","15550","66844","1048950720","628800000000","40000000"
"069640","한세엠케이","1692","13","0.77","1683","1729","1677","2613","4406322","50940201384","30106502"
"016450","한세예스24홀딩스","4545","-25","-0.55","4540","4630","4535","4567","20765025","181800000000","40000000"
"010420","한솔PNS","1072","-24","-2.19","1115","1115","1037","8321","9113388","21968508864","20493012"
"009180","한솔로지스틱스","2445","25","1.03","2420","2465","2410","62700","152639015","68599426125","28057025"
"213500","한솔제지","9920","120","1.22","9850","9940","9780","16935","167368410","236101713920","23800576"
"014680","한솔케미칼","139800","-1200","-0.85","141100","141600","139700","19165","2686377900","1584660261000","11335195"
"004710","한솔테크닉스","4875","125","2.63","4740","4925","4740","25174","122051890","156535655250","32109878"
"004150","한솔홀딩스","2535","5","0.20","2560","2560","2525","25048","63449230","106491742695","42008577"
"025750","한솔홈데코","729","-1","-0.14","735","737","726","32831","24084355","58731993621","80565149"
"004960","한신공영","7130","0","0.00","7200","7200","7040","6813","48256990","82499105260","11570702"
"011700","한신기계","3510","5","0.14","3475","3595","3475","55188","194634135","113885990010","32446151"
"001750","한양증권","16780","1090","6.95","15350","17200","15350","629220","10455681170","213584800520","12728534"
"001755","한양증권우","28450","6000","26.73","22000","29150","21850","347504","9161833500","14936250000","525000"
"018880","한온시스템","4185","145","3.59","4135","4250","4045","2052739","8469284670","2233953000000","533800000"
"009420","한올바이오파마","38050","200","0.53","37550","39350","37500","357103","13734753950","1987756275900","52240638"
"014130","한익스프레스","3620","-30","-0.82","3620","3640","3605","5409","19564185","43440000000","12000000"
"300720","한일시멘트","14620","110","0.76","14510","14650","14400","25176","366111030","1012603714800","69261540"
"002220","한일철강","2040","-5","-0.24","2045","2055","2040","2580","5272525","54462818400","26697460"
"006390","한일현대시멘트","14410","10","0.07","14650","14650","14390","1563","22549750","278511753520","19327672"
"003300","한일홀딩스","14100","40","0.28","14060","14130","13960","1246","17514260","434743664400","30832884"
"051600","한전KPS","41000","-50","-0.12","40850","41350","40800","54309","2228605450","1845000000000","45000000"
"052690","한전기술","67300","100","0.15","67800","68100","67100","59499","4018153800","2572206000000","38220000"
"130660","한전산업","13060","10","0.08","13050","13270","12930","261527","3435385070","425756000000","32600000"
"002320","한진","19400","10","0.05","19250","19490","19250","5899","114449520","289983983200","14947628"
"003480","한진중공업홀딩스","3495","-5","-0.14","3480","3530","3455","7677","26795615","103206692940","29529812"
"180640","한진칼","67500","-1100","-1.60","69600","69700","67500","11715","803817300","4506453832500","66762279"
"18064K","한진칼우","23500","-150","-0.63","23650","23700","23000","2261","52487100","12614001000","536766"
"005110","한창","1254","0","0.00","0","0","0","0","0","23332434378","18606407"
"009460","한창제지","836","0","0.00","829","840","818","25834","21381620","49882018296","59667486"
"372910","한컴라이프케어","3795","-15","-0.39","3845","3845","3780","114000","434483060","105024370770","27674406"
"000880","한화","29400","350","1.20","29050","29500","28850","48317","1412539800","2203786809000","74958735"
"00088K","한화3우B","15480","80","0.52","15400","15500","15400","3380","52154720","347866560000","22472000"
"452260","한화갤러리아","1510","2","0.13","1510","1520","1508","1033051","1563090003","292728011100","193859610"
"45226K","한화갤러리아우","2970","70","2.41","2900","3035","2900","37561","112410800","8626275900","2904470"
"451800","한화리츠","4940","-50","-1.00","5010","5010","4940","8706","43095450","348764000000","70600000"
"088350","한화생명","3005","45","1.52","2970","3020","2950","862265","2584391815","2609932650000","868530000"
"000370","한화손해보험","6010","220","3.80","5820","6080","5800","374569","2239229280","701600879150","116738915"
